loc_rowid,pl_name,pl_pnum,pl_orbper,st_dist,st_teff,pl_masse,pl_rade,pl_publ_date
3427,Kepler-784 b,1,31.59226460,604.00,5674.00,,1.580,
3428,Kepler-785 b,1,1.97376093,666.00,4739.00,,13.020,
3429,Kepler-786 b,1,53.52934870,512.00,4838.00,,2.430,
3430,Kepler-787 b,1,0.92831050,468.00,4248.00,,1.280,
3431,Kepler-788 b,1,8.39846269,1649.00,6159.00,,2.550,
3432,Kepler-789 b,1,8.63847725,915.00,5870.00,,2.120,
3433,Kepler-79 b,4,13.48450000,1051.43,6174.00,10.90000,3.470,2013-10
3434,Kepler-79 c,4,27.40290000,1051.43,6174.00,5.90000,3.720,2013-10
3435,Kepler-79 d,4,52.09020000,1051.43,6174.00,6.00000,7.160,2014-03
3436,Kepler-79 e,4,81.06590000,1051.43,6174.00,4.10000,3.490,2014-03
3437,Kepler-790 b,1,13.73469807,727.00,5208.00,,2.180,
3438,Kepler-791 b,1,14.55397590,1447.00,6383.00,,3.050,
3439,Kepler-792 b,1,11.30119217,1205.00,5971.00,,1.960,
3440,Kepler-793 b,1,4.24153639,794.00,5745.00,,1.370,
3441,Kepler-794 b,1,11.13125132,763.00,5839.00,,2.110,
3442,Kepler-795 b,1,29.61934210,458.00,5631.00,,1.680,
3443,Kepler-796 b,1,6.40087618,377.00,5475.00,,1.300,
3444,Kepler-797 b,1,27.07237711,752.00,5680.00,,2.170,
3445,Kepler-798 b,1,13.71933369,1085.00,6224.00,,2.390,
3446,Kepler-799 b,1,133.46052350,1029.00,5681.00,,6.880,
3447,Kepler-8 b,1,3.52249910,1052.90,6213.00,187.51970,15.872,2010-12
3448,Kepler-80 b,6,7.05246000,357.00,4540.00,6.93000,2.670,2013-10
3449,Kepler-80 c,6,9.52355000,357.00,4540.00,6.74000,2.740,2013-10
3450,Kepler-80 d,6,3.07222000,357.00,4540.00,6.75000,1.530,2014-03
3451,Kepler-80 e,6,4.64489000,357.00,4540.00,4.13000,1.600,2014-03
3452,Kepler-80 f,6,0.98678730,357.00,4540.00,,1.210,
3453,Kepler-80 g,6,14.64558000,357.00,4540.00,,1.130,
3454,Kepler-800 b,1,14.13176026,1049.00,5315.00,,2.850,
3455,Kepler-801 b,1,11.41928253,419.00,4435.00,,2.000,
3456,Kepler-802 b,1,40.05874730,828.00,5507.00,,3.540,
3457,Kepler-803 b,1,50.28638192,615.00,5919.00,,3.790,
3458,Kepler-804 b,2,14.37457351,648.00,5817.00,,1.940,
3459,Kepler-804 c,2,9.65185017,648.00,5817.00,,1.140,
3460,Kepler-805 b,1,30.86389310,657.00,6112.00,,2.890,
3461,Kepler-806 b,1,8.09219642,260.00,5770.00,,1.140,
3462,Kepler-807 b,1,117.93108781,1312.00,5965.00,,10.420,
3463,Kepler-808 b,1,0.63133235,321.00,4653.00,,1.460,
3464,Kepler-809 b,1,55.63934000,933.00,5734.00,,3.010,
3465,Kepler-81 b,3,5.95500000,351.79,4500.00,,2.420,2013-10
3466,Kepler-81 c,3,12.04000000,351.79,4500.00,,2.370,2013-10
3467,Kepler-81 d,3,20.83784600,351.79,4500.00,,1.210,2014-03
3468,Kepler-810 b,1,4.59725385,1554.00,5803.00,,1.930,
3469,Kepler-811 b,1,23.58447697,847.00,5747.00,,2.700,
3470,Kepler-812 b,1,10.11716531,1482.00,6761.00,,3.550,
3471,Kepler-813 b,1,19.12947337,840.00,5743.00,,2.140,
3472,Kepler-814 b,1,6.14698510,1327.00,6162.00,,2.120,
3473,Kepler-815 b,1,8.57503552,1199.00,5028.00,,4.110,
3474,Kepler-816 b,1,10.50682565,1059.00,5286.00,,10.240,
3475,Kepler-817 b,1,3.99010623,1401.00,5861.00,,9.030,
3476,Kepler-818 b,1,10.03538581,967.00,5638.00,,5.110,
3477,Kepler-819 b,1,33.19956480,722.00,5279.00,,2.760,
3478,Kepler-82 b,5,26.44000000,927.97,,12.15000,4.070,2013-10
3479,Kepler-82 c,5,51.54000000,927.97,,13.90000,5.340,2013-10
3480,Kepler-82 d,5,2.38296100,927.97,,,1.770,2014-03
3481,Kepler-82 e,5,5.90220600,927.97,,,2.470,2014-03
3482,Kepler-82 f,5,75.73200000,927.97,,20.90000,,
3483,Kepler-820 b,1,127.83380980,989.00,6260.00,,6.090,
3484,Kepler-821 b,1,1.92279873,619.00,5191.00,,1.310,
3485,Kepler-822 b,1,3.22296927,956.00,5928.00,,1.770,
