loc_rowid,pl_name,pl_pnum,pl_orbper,st_dist,st_teff,pl_masse,pl_rade,pl_publ_date
1047,K2-164 b,1,17.35506600,379.64,5791.00,,3.249,2018-02
1048,K2-165 b,3,2.35499200,135.10,5185.00,,1.274,2018-02
1049,K2-165 c,3,4.38274500,135.10,5185.00,,1.554,2018-02
1050,K2-165 d,3,14.10136100,135.10,5185.00,,2.648,2018-02
1051,K2-166 b,2,8.52695000,481.00,,,2.190,2018-02
1052,K2-167 b,1,9.97748100,81.08,5908.00,,2.819,2018-02
1053,K2-168 b,2,15.85230000,245.56,5502.70,,1.860,2018-02
1054,K2-169 b,1,6.38080300,237.35,5548.00,,1.273,2018-02
1055,K2-17 b,1,17.96753000,125.56,4320.00,,2.230,2015-03
1056,K2-170 b,2,7.57654400,397.26,5748.00,,1.418,2018-02
1057,K2-170 c,2,12.40004700,397.26,5748.00,,1.802,2018-02
1058,K2-171 b,1,5.62846600,616.41,5250.00,,2.687,2018-02
1059,K2-172 b,2,14.31694100,251.51,5569.00,,1.666,2018-02
1060,K2-172 c,2,29.62682000,251.51,5569.00,,3.206,2018-02
1061,K2-173 b,1,5.86869900,230.14,5580.00,,1.608,2018-02
1062,K2-174 b,1,19.56230700,100.10,4455.00,,2.600,2018-02
1063,K2-175 b,1,9.52598800,249.01,5909.00,,2.038,2018-02
1064,K2-176 b,1,5.32943900,249.01,5428.00,,1.491,2018-02
1065,K2-177 b,1,14.15518500,499.02,6063.00,,2.116,2018-02
1066,K2-178 b,1,8.74781800,216.08,5525.00,,3.558,2018-02
1067,K2-179 b,1,5.17219100,191.84,5015.00,,2.513,2018-02
1068,K2-18 b,2,32.93962300,38.07,3457.00,8.92000,2.370,2015-03
1069,K2-18 c,2,8.96200000,38.07,3457.00,,,
1070,K2-180 b,1,8.86720900,204.51,5358.00,,2.310,2018-02
1071,K2-181 b,1,6.89425600,364.82,5608.00,,2.840,2018-02
1072,K2-182 b,1,4.73683700,155.90,5165.00,,2.760,2018-02
1073,K2-183 b,3,0.46926900,331.77,5519.00,,2.599,2018-02
1074,K2-183 c,3,10.79263500,331.77,5519.00,,2.870,2018-02
1075,K2-183 d,3,22.63196400,331.77,5519.00,,2.860,2018-02
1076,K2-184 b,1,16.99573100,75.79,5220.00,,1.550,2018-02
1077,K2-185 b,1,10.61664600,270.41,5722.00,,1.313,2018-02
1078,K2-186 b,1,41.47421900,333.84,5784.00,,3.172,2018-02
1079,K2-187 b,4,0.77392000,333.51,5484.00,,1.300,2018-02
1080,K2-187 c,4,2.87204200,333.51,5484.00,,1.800,2018-02
1081,K2-187 d,4,7.14921000,333.51,5484.00,,3.170,2018-02
1082,K2-187 e,4,13.60987800,333.51,5484.00,,2.380,2018-02
1083,K2-188 b,2,1.74216900,452.90,5977.00,,1.350,2018-02
1084,K2-188 c,2,7.81025300,452.90,5977.00,,2.830,2018-02
1085,K2-189 b,2,2.58830900,243.93,5519.00,,1.520,2018-02
1086,K2-189 c,2,6.67919500,243.93,5519.00,,2.500,2018-02
1087,K2-19 b,3,7.91940000,292.14,5430.00,,7.740,2015-08
1088,K2-19 c,3,11.90715000,292.14,5430.00,,4.860,2015-08
1089,K2-19 d,3,2.50856000,292.14,5430.00,,1.140,
1090,K2-190 b,2,10.09885800,161.42,5631.00,,1.357,2018-02
1091,K2-190 c,2,21.57402300,161.42,5631.00,,1.093,2018-02
1092,K2-191 b,1,2.85864600,289.57,5176.00,,1.579,2018-02
1093,K2-192 b,1,4.16281700,223.99,5222.00,,1.520,2018-02
1094,K2-193 b,1,14.78688900,416.91,5817.00,,3.950,2018-02
1095,K2-194 b,1,39.72138600,640.65,5979.00,,3.642,2018-02
1096,K2-195 b,2,15.85297500,317.83,5713.00,,3.130,2018-02
1097,K2-195 c,2,28.48278600,317.83,5713.00,,2.576,2018-02
1098,K2-196 b,1,48.32422200,594.09,6045.00,,3.600,2018-02
1099,K2-197 b,1,8.35788100,249.59,5667.00,,2.560,2018-02
1100,K2-198 b,3,17.04286830,110.91,5212.90,,4.189,2018-02
1101,K2-198 c,3,3.35960550,110.91,5212.90,,1.423,2019-07
1102,K2-198 d,3,7.45001770,110.91,5212.90,,2.438,2019-07
1103,K2-199 b,2,3.22533800,107.97,4648.00,,1.870,2018-02
1104,K2-199 c,2,7.37469400,107.97,4648.00,,2.780,2018-02
1105,K2-200 b,1,2.84988300,185.09,5233.00,,1.364,2018-02
1106,K2-201 b,2,1.05979000,199.05,5507.00,,1.400,2018-02
1107,K2-201 c,2,22.77987800,199.05,5507.00,,3.286,2018-02
1108,K2-202 b,1,3.40516400,302.99,5491.00,,2.302,2018-02
1109,K2-203 b,1,9.69510100,166.93,5000.00,,1.371,2018-02
1110,K2-204 b,1,7.05578400,586.87,5755.00,,3.046,2018-02
1111,K2-205 b,1,26.67226300,409.95,5890.00,,1.996,2018-02
1112,K2-206 b,1,18.29454900,246.14,5043.00,,2.795,2018-02
1113,K2-207 b,1,12.48749000,366.84,5522.00,,2.606,2018-02
1114,K2-208 b,1,4.19094800,258.76,5582.00,,1.679,2018-02
1115,K2-209 b,1,2.08061500,76.67,4720.00,,0.869,2018-02
1116,K2-21 b,2,9.32503800,83.85,4222.06,,1.840,
1117,K2-21 c,2,15.50192000,83.85,4222.06,,2.490,
1118,K2-210 b,1,0.57023300,177.39,5396.00,,0.819,2018-02
1119,K2-211 b,1,0.66955800,274.39,5221.00,,1.375,2018-02
1120,K2-212 b,1,9.79551000,109.32,4272.00,,2.520,2018-02
1121,K2-213 b,1,8.13087000,394.05,5794.00,,1.514,2018-02
1122,K2-214 b,1,8.59680200,303.28,5854.00,,2.430,2018-02
1123,K2-215 b,1,8.26964800,408.67,5704.00,,2.124,2018-02
1124,K2-216 b,1,2.17480000,115.84,4503.00,8.00000,1.750,2018-02
1125,K2-217 b,1,14.07452400,386.01,5967.00,,3.579,2018-02
1126,K2-218 b,1,8.67988500,398.41,5757.00,,2.569,2018-02
1127,K2-219 b,3,3.90128700,328.42,5753.00,,1.348,2018-02
1128,K2-219 c,3,6.66767000,328.42,5753.00,,1.438,2018-02
1129,K2-219 d,3,11.13727800,328.42,5753.00,,2.576,2018-02
1130,K2-22 b,1,0.38107800,245.53,3830.00,444.96200,2.500,
1131,K2-220 b,1,13.68325600,234.92,5660.00,,2.390,2018-02
1132,K2-221 b,1,2.39909400,321.63,5716.00,,1.679,2018-02
1133,K2-222 b,1,15.38706300,101.59,6058.00,,2.390,2018-02
1134,K2-223 b,2,0.50565000,201.10,5835.00,,0.890,2018-02
1135,K2-223 c,2,4.56327000,201.10,5835.00,,1.570,2018-02
1136,K2-224 b,2,4.47904000,277.70,5620.00,,1.560,2018-02
1137,K2-224 c,2,10.09489000,277.70,5620.00,,2.410,
1138,K2-225 b,1,15.87209000,360.30,5742.00,,3.490,2018-02
1139,K2-226 b,1,3.27108000,211.20,5424.00,,1.540,2018-02
1140,K2-227 b,1,13.62183200,188.22,5673.00,,1.666,2018-02
1141,K2-228 b,1,2.69828000,142.40,4715.00,,1.210,2018-02
1142,K2-229 b,2,0.58426000,103.80,5315.00,,1.140,2018-02
1143,K2-229 c,2,8.32727000,103.80,5315.00,,2.030,2018-02
1144,K2-230 b,1,2.86041000,548.90,5945.00,,1.960,2018-02
1145,K2-231 b,1,13.84190100,295.00,5695.00,,2.500,
1146,K2-232 b,1,11.16845400,131.21,6154.00,126.49634,11.209,
1147,K2-233 b,3,2.46746000,67.64,4950.00,,1.398,
1148,K2-233 c,3,7.06142000,67.64,4950.00,,1.335,
1149,K2-233 d,3,24.36620000,67.64,4950.00,,2.640,
1150,K2-237 b,1,2.18055770,309.50,6099.00,392.83788,18.405,
1151,K2-238 b,1,3.20466000,453.00,5630.00,273.33380,14.572,
1152,K2-239 b,3,5.24000000,49.00,3420.00,,1.100,
1153,K2-239 c,3,7.77500000,49.00,3420.00,,1.000,
1154,K2-239 d,3,10.11500000,49.00,3420.00,,1.100,
1155,K2-24 b,2,20.88977000,171.39,5625.00,19.00000,5.400,
1156,K2-24 c,2,42.33910000,171.39,5625.00,15.40000,7.500,
1157,K2-240 b,2,6.03400000,70.00,3810.00,,2.000,
1158,K2-240 c,2,20.52300000,70.00,3810.00,,1.800,
1159,K2-241 b,1,26.81990000,149.60,5262.00,,2.550,
1160,K2-242 b,1,6.51389000,109.60,3459.00,,2.540,
1161,K2-243 b,2,11.54182000,269.20,6570.00,,2.170,
1162,K2-243 c,2,24.94598000,269.20,6570.00,,2.010,
1163,K2-244 b,1,21.06884000,214.00,5677.00,,1.750,
1164,K2-245 b,1,11.89307000,463.40,5793.00,,4.340,
1165,K2-246 b,1,5.76918000,723.10,5610.00,,3.490,
1166,K2-247 b,2,2.25021000,260.20,4667.00,,2.120,
1167,K2-247 c,2,6.49424000,260.20,4667.00,,2.190,
1168,K2-248 b,1,7.17256000,410.50,5528.00,,2.570,
1169,K2-249 b,1,12.40900000,528.30,6504.00,,2.790,
1170,K2-25 b,1,3.48455200,45.01,3180.00,,3.430,
1171,K2-250 b,1,4.01457000,417.60,5172.00,,2.440,
1172,K2-251 b,1,9.30075000,147.70,3717.00,,2.350,
1173,K2-252 b,1,13.81513000,229.90,5152.00,,1.740,
1174,K2-253 b,1,4.00167000,901.80,6027.00,,12.670,
1175,K2-254 b,2,4.09639000,229.40,4629.00,,1.630,
1176,K2-254 c,2,12.11839000,229.40,4629.00,,2.190,
1177,K2-255 b,1,1.96417000,192.40,4676.00,,2.900,
1178,K2-256 b,1,5.52011000,580.50,5219.00,,2.630,
1179,K2-257 b,1,1.60588000,64.10,3725.00,,0.830,
1180,K2-258 b,1,19.09210000,675.20,6351.00,,3.000,
1181,K2-259 b,1,15.48043000,422.10,6059.00,,2.320,
1182,K2-26 b,1,14.56650000,99.33,3785.00,,2.670,
1183,K2-260 b,1,2.62666570,676.32,6367.00,451.31860,17.396,
1184,K2-261 b,1,11.63344000,214.58,5537.00,70.87609,9.528,
1185,K2-263 b,1,50.81894700,163.23,5368.00,14.80000,2.410,
1186,K2-264 b,2,5.84000200,187.00,3660.00,,2.231,
1187,K2-264 c,2,19.66030200,187.00,3660.00,,2.668,
1188,K2-265 b,1,2.36917200,139.22,5477.00,6.54000,1.710,
1189,K2-266 b,4,0.65852400,77.16,4285.00,,3.300,
1190,K2-266 c,4,7.81400000,77.16,4285.00,,0.705,
1191,K2-266 d,4,14.69700000,77.16,4285.00,8.90000,2.930,
1192,K2-266 e,4,19.48200000,77.16,4285.00,14.30000,2.730,
1193,K2-268 b,2,2.15189400,331.46,5068.00,,1.410,
1194,K2-268 c,2,9.32684100,331.46,5068.00,,2.690,
1195,K2-269 b,1,4.14496500,362.07,6209.00,,1.570,
1196,K2-27 b,1,6.77131500,251.43,5248.00,30.90000,4.480,
1197,K2-270 b,2,1.54306900,283.53,4877.00,,1.380,
1198,K2-270 c,2,4.40002800,283.53,4877.00,,2.950,
1199,K2-271 b,1,8.56242100,571.47,5644.00,,7.280,
1200,K2-272 b,1,14.45353300,426.57,5419.00,,2.910,
1201,K2-273 b,1,11.71633200,310.60,5200.00,,4.420,
1202,K2-274 b,1,14.12971400,232.82,5065.00,,2.200,
1203,K2-275 b,2,3.28096100,124.09,4812.00,,2.240,
1204,K2-275 c,2,8.43875600,124.09,4812.00,,2.340,
1205,K2-276 b,1,18.71826900,489.88,5139.00,,3.770,
1206,K2-277 b,1,6.32676300,113.53,5741.00,,2.070,
1207,K2-278 b,1,3.33496600,804.13,6747.00,,2.980,
1208,K2-279 b,1,7.12260500,183.80,5558.00,,1.210,
1209,K2-28 b,1,2.26045500,63.11,3214.00,,2.320,2018-05
1210,K2-280 b,1,19.89520200,396.90,5742.00,,7.670,
1211,K2-281 b,1,8.68772100,466.11,4812.00,,8.180,
1212,K2-282 b,2,4.16983600,502.28,,,2.820,
1213,K2-283 b,1,1.92103600,408.24,5060.00,,3.520,
1214,K2-284 b,1,4.79506900,107.60,4140.00,,2.780,
1215,K2-285 b,4,3.47174500,155.65,4975.00,9.68000,2.590,
1216,K2-285 c,4,7.13804800,155.65,4975.00,15.68000,3.530,
1217,K2-285 d,4,10.45582000,155.65,4975.00,6.50000,2.480,
1218,K2-285 e,4,14.76289000,155.65,4975.00,10.70000,1.950,
1219,K2-286 b,1,27.35900000,76.32,3926.00,,2.100,
1220,K2-287 b,1,14.89329100,159.05,5695.00,100.11645,9.494,
1221,K2-288 B b,1,31.39346300,65.72,3341.00,,1.900,
1222,K2-289 b,1,13.15696900,270.70,5529.00,,9.100,
1223,K2-29 b,1,3.25883210,179.39,5358.00,232.01590,13.339,
1224,K2-290 b,2,9.21165000,274.99,6302.00,10.90000,3.060,
1225,K2-290 c,2,48.36685000,274.99,6302.00,246.00042,11.276,
1226,K2-291 b,1,2.22517700,90.29,5520.00,6.49000,1.589,
1227,K2-293 b,1,13.12250000,396.64,5532.00,,2.450,
1228,K2-294 b,1,2.50387000,377.04,5612.00,,1.660,
1229,K2-295 b,1,4.02486700,225.70,4444.00,106.47305,10.054,2019-05
1230,K2-3 b,3,10.05449000,44.13,3896.00,,2.180,2015-05
1231,K2-3 c,3,24.64354000,44.13,3896.00,,1.850,2015-05
1232,K2-3 d,3,44.55983000,44.13,3896.00,,1.510,2015-05
1233,K2-30 b,1,4.09850300,336.26,5425.00,184.02357,11.646,
1234,K2-308 b,1,3.38628000,,6100.00,,9.916,
1235,K2-31 b,1,1.25785000,110.87,5280.00,563.83042,11.882,
1236,K2-32 b,4,8.99182800,158.39,,,4.960,
1237,K2-32 c,4,20.66186000,158.39,,,2.740,
1238,K2-32 d,4,31.71420000,158.39,,,3.270,
1239,K2-32 e,4,4.34882000,158.39,,,1.010,2019-03
1240,K2-33 b,1,5.42486500,139.80,3540.00,1175.97100,5.040,2016-06
1241,K2-34 b,1,2.99563300,352.34,6071.00,,13.960,
1242,K2-35 b,2,5.60835200,254.43,4402.71,,1.930,
1243,K2-35 c,2,2.39996400,254.43,4402.71,,1.320,
1244,K2-36 b,2,1.42261400,110.09,4916.00,3.90000,1.430,
1245,K2-36 c,2,5.34088800,110.09,4916.00,7.80000,3.200,
1246,K2-37 b,3,4.44117000,180.86,5413.00,,1.610,
1247,K2-37 c,3,6.42904000,180.86,5413.00,,2.750,
1248,K2-37 d,3,14.09189000,180.86,5413.00,,2.730,
1249,K2-38 b,2,4.01593000,193.71,5757.00,19.06980,1.906,
1250,K2-38 c,2,10.56103000,193.71,5757.00,9.90000,2.420,
1251,K2-39 b,1,4.60543000,310.14,4881.00,28.60470,6.277,
1252,K2-4 b,1,10.00341700,233.37,4014.73,,2.100,2015-03
1253,K2-42 b,1,6.68796000,401.36,4613.00,,2.150,
1254,K2-43 b,2,3.47114900,183.48,3840.60,,4.510,
1255,K2-43 c,2,2.19888400,183.48,3840.60,,2.420,2019-07
1256,K2-44 b,1,5.65688000,483.19,5912.00,,2.720,
1257,K2-45 b,1,1.72926840,502.34,4103.00,,6.710,
1258,K2-46 b,1,19.15410000,454.93,6256.00,,2.050,
1259,K2-47 b,1,31.63720000,353.38,5054.00,,1.890,
1260,K2-48 b,1,20.50650000,316.61,4899.00,,2.240,
1261,K2-49 b,1,2.77065000,463.06,4175.00,,1.930,
1262,K2-5 b,2,5.73594000,204.12,3930.00,,1.910,2015-03
1263,K2-5 c,2,10.93241000,204.12,3930.00,,2.260,2015-03
1264,K2-50 b,2,8.75290000,259.33,,,1.590,
1265,K2-52 b,1,3.53505500,1041.70,7147.00,,18.000,
1266,K2-53 b,1,12.20772000,139.10,5263.00,,2.600,
1267,K2-54 b,1,9.78430000,175.84,3798.00,,1.150,
1268,K2-55 b,1,2.84925800,160.26,4456.00,,3.820,
1269,K2-57 b,1,9.00630000,266.23,4434.00,,2.100,
1270,K2-58 b,3,7.05254000,182.69,5413.00,,2.680,
1271,K2-58 c,3,2.53726000,182.69,5413.00,,1.620,
1272,K2-58 d,3,22.88270000,182.69,5413.00,,1.710,
1273,K2-59 b,2,20.69210000,314.09,5055.00,,2.410,
1274,K2-59 c,2,11.29540000,314.09,5055.00,,2.300,
1275,K2-6 b,1,30.94191000,319.59,5850.00,,2.500,2015-03
1276,K2-60 b,1,3.00265000,498.70,5500.00,135.39558,7.656,
1277,K2-61 b,1,2.57302000,410.35,6293.00,,2.480,
1278,K2-62 b,2,6.67202000,112.83,4880.00,,2.140,
1279,K2-62 c,2,16.19660000,112.83,4880.00,,2.140,
1280,K2-63 b,2,20.25700000,524.41,6771.00,,3.220,
1281,K2-63 c,2,25.45560000,524.41,6771.00,,3.900,
1282,K2-64 b,1,6.53044000,506.87,5312.00,,2.070,
1283,K2-65 b,1,12.64750000,78.06,5213.00,,1.580,
1284,K2-66 b,1,5.06963000,520.43,5887.00,21.30000,2.490,
1285,K2-68 b,1,8.05428000,169.47,4746.00,,1.580,
1286,K2-69 b,1,7.06599000,181.63,4127.00,,2.320,
1287,K2-7 b,1,28.67992000,754.64,5772.00,,2.670,2015-03
1288,K2-70 b,1,13.97896000,234.47,5622.00,,2.890,
1289,K2-71 b,1,6.98541000,153.86,4006.00,,2.150,
1290,K2-72 b,4,5.57721200,66.56,3360.47,,1.080,
1291,K2-72 c,4,15.18903400,66.56,3360.47,,1.160,
1292,K2-72 d,4,7.76017800,66.56,3360.47,,1.010,
1293,K2-72 e,4,24.15886800,66.56,3360.47,,1.290,
1294,K2-73 b,1,7.49543000,271.27,5922.00,,2.450,
1295,K2-74 b,1,19.56660000,381.85,6060.00,,2.310,
1296,K2-75 b,2,7.81420000,570.86,5995.00,,2.670,
1297,K2-75 c,2,18.31100000,570.86,5995.00,,2.770,
1298,K2-77 b,1,8.19979600,142.31,4970.00,603.87700,2.300,
1299,K2-79 b,1,10.99573000,257.90,5926.00,,3.690,
1300,K2-8 b,2,10.35239000,407.93,4870.00,,3.580,2015-03
1301,K2-8 c,2,5.06416000,407.93,4870.00,,2.410,
1302,K2-80 b,3,19.09180000,201.96,5441.00,,2.010,
1303,K2-80 c,3,5.60500000,201.96,5441.00,,1.470,
1304,K2-80 d,3,28.86725300,201.96,5441.00,,2.552,2018-02
1305,K2-81 b,1,6.10232500,254.14,4674.13,,1.970,
1306,K2-83 b,2,2.74697000,125.98,3910.00,,1.244,
1307,K2-83 c,2,9.99767000,125.98,3910.00,,1.483,
1308,K2-84 b,2,6.42150000,287.23,5652.00,,2.410,
1309,K2-84 c,2,27.86000000,287.23,5652.00,,2.030,
1310,K2-85 b,1,0.68453300,97.49,4268.00,,1.010,
1311,K2-86 b,1,8.77683000,260.61,5482.00,,1.960,
1312,K2-87 b,1,9.72661800,503.60,5747.00,,7.600,
1313,K2-88 b,1,4.61220000,110.91,3537.00,,1.230,
1314,K2-89 b,1,1.09602600,86.25,3691.00,,0.615,
1315,K2-9 b,1,18.44980000,83.16,3390.00,,2.250,2015-03
1316,K2-90 b,2,13.73331400,134.90,4484.00,,2.600,
1317,K2-90 c,2,2.90070600,134.90,4484.00,,1.300,
1318,K2-91 b,1,1.41954900,62.69,3622.00,,1.100,
1319,K2-95 b,1,10.13401600,180.63,3548.00,,3.880,
1320,K2-97 b,1,8.40672600,869.76,4717.00,,10.610,
1321,K2-98 b,1,10.13644800,526.31,6172.00,,5.200,
1322,K2-99 b,1,18.25198500,522.29,6217.00,,11.730,
1323,KELT-1 b,1,1.21751400,262.00,6518.00,8654.15000,12.442,2012-12
1324,KELT-10 b,1,4.16627390,183.00,5948.00,215.80657,15.681,
1325,KELT-11 b,1,4.73610000,99.44,5375.00,54.34893,15.132,2017-05
1326,KELT-12 b,1,5.03162300,360.00,6279.00,301.93850,19.952,2017-04
1327,KELT-14 b,1,1.71005660,266.00,5720.00,408.09372,19.537,
1328,KELT-15 b,1,3.32944000,327.74,6003.00,416.35730,19.504,
1329,KELT-16 b,1,0.96899510,450.28,6236.00,874.03250,15.861,
1330,KELT-17 b,1,3.08017160,210.00,7454.00,416.35730,17.094,
1331,KELT-18 b,1,2.87175180,311.00,6670.00,375.03940,17.598,2017-04
1332,KELT-19 A b,1,4.61170930,302.80,7500.00,1293.56810,21.409,
1333,KELT-2 A b,1,4.11379000,134.57,6327.00,540.31100,15.132,2012-09
1334,KELT-20 b,1,3.47410850,139.70,8720.00,1074.90106,19.515,
1335,KELT-21 b,1,3.61276470,415.00,7598.00,1242.71530,17.777,
1336,KELT-23 A b,1,2.25525100,125.42,5899.00,298.12454,14.830,2019-05
1337,KELT-24 b,1,5.55149260,96.03,6509.00,1646.35940,14.258,2019-09
1338,KELT-3 b,1,2.70339000,211.35,6304.00,616.59020,17.486,2013-08
1339,KELT-4 A b,1,2.98959320,210.00,6206.00,286.68266,19.044,2016-02
1340,KELT-6 b,2,7.84570000,242.39,6102.00,165.27160,14.572,2014-02
1341,KELT-6 c,2,1276.00000000,242.39,6102.00,,,
1342,KELT-7 b,1,2.73477000,137.21,6768.00,441.78370,17.934,2015-07
1343,KELT-8 b,1,3.24406000,198.70,5754.00,209.76780,18.159,2015-09
1344,KELT-9 b,1,1.48112350,205.65,10170.00,915.35040,21.196,
1345,KIC 10001893 b,3,0.21970000,1758.47,27500.00,,,2014-10
1346,KIC 10001893 c,3,0.32528000,1758.47,27500.00,,,2014-10
1347,KIC 10001893 d,3,0.81161000,1758.47,27500.00,,,2014-10
1348,KIC 10525077 b,1,854.08300000,1525.31,6091.00,,5.500,
1349,KIC 3558849 b,1,1322.30000000,1258.75,6175.00,,6.900,
1350,KIC 5095269 b,1,237.68977000,1230.60,,2445.06619,,2017-07
1351,KIC 5437945 b,2,440.78130000,1322.48,6340.00,,6.400,
1352,KIC 5951458 b,1,1320.10000000,758.78,6258.00,,6.600,
1353,KIC 7917485 b,1,840.00000000,1439.31,7067.00,,,
1354,KIC 8540376 b,2,31.80990000,1106.37,6474.00,,4.100,
1355,KIC 8540376 c,2,75.20000000,1106.37,6474.00,,2.400,
1356,KIC 9663113 b,2,572.38470000,1670.88,6065.00,,4.600,
1357,KMT-2016-BLG-0212L b,1,,6300.00,,5720.94000,,2018-12
1358,KMT-2016-BLG-1107L b,1,,6651.00,,1043.43589,,
1359,KMT-2016-BLG-1397L b,1,,6600.00,,2224.81000,,
1360,KMT-2016-BLG-1820L b,1,,6260.00,,1452.48310,,
1361,KMT-2016-BLG-2142L b,1,,7010.00,,4923.18670,,
1362,KMT-2017-BLG-0165L b,1,,4530.00,,34.00000,,2019-01
1363,KMT-2017-BLG-1038L b,1,,6000.00,,635.66000,,
1364,KMT-2017-BLG-1146L b,1,,6500.00,,225.65930,,
1365,KMT-2018-BLG-1990L b,1,,967.00,,110.60484,,2019-10
1366,KOI-12 b,2,17.85518200,403.99,,349.61300,13.787,2015-07
1367,KOI-1257 b,1,86.64766100,900.00,5520.00,460.83000,10.540,2014-11
1368,KOI-13 b,1,1.76358800,415.00,7650.00,2949.46240,16.948,2011-07
1369,KOI-142 b,2,10.95416000,339.00,5471.00,8.70000,3.780,2013-11
1370,KOI-142 c,2,22.33950000,339.00,5471.00,198.80000,,2013-11
1371,KOI-1599.01,2,20.44150000,1168.99,,4.60000,1.900,
1372,KOI-1599.02,2,13.60880000,1168.99,,9.00000,1.900,
1373,KOI-217 b,1,3.90512000,800.00,5545.00,,12.442,2010-12
1374,KOI-351 b,8,7.00815100,780.00,6080.00,,1.310,2014-01
1375,KOI-351 c,8,8.71937500,780.00,6080.00,,1.190,2014-01
1376,KOI-351 d,8,59.73667000,780.00,6080.00,,2.870,2014-01
1377,KOI-351 e,8,91.93913000,780.00,6080.00,,2.660,2014-01
1378,KOI-351 f,8,124.91440000,780.00,6080.00,,2.880,2014-01
1379,KOI-351 g,8,210.60697000,780.00,6080.00,,8.100,2014-01
1380,KOI-351 h,8,331.60059000,780.00,6080.00,,11.300,2014-01
1381,KOI-3680 b,1,141.24167100,946.59,5830.00,613.41190,11.097,
1382,KOI-55 b,2,0.24010400,1180.00,27730.00,0.44000,0.759,2011-12
1383,KOI-55 c,2,0.34288700,1180.00,27730.00,0.65500,0.867,2011-12
1384,KOI-94 b,4,3.74320800,483.65,6182.00,10.50000,1.710,2013-05
1385,KOI-94 c,4,10.42364800,483.65,6182.00,15.60000,4.320,2013-05
1386,KOI-94 d,4,22.34298900,483.65,6182.00,106.00000,11.270,2013-05
1387,KOI-94 e,4,54.32031000,483.65,6182.00,35.00000,6.560,2013-05
1388,KPS-1 b,1,1.70629100,264.69,5165.00,346.43470,11.545,
1389,Kapteyn c,1,121.54000000,3.93,3550.00,,,2014-09
1390,Kepler-10 b,2,0.83749100,186.50,5627.00,4.60853,1.481,2011-03
1391,Kepler-10 c,2,45.29430100,186.50,5627.00,17.20000,2.350,2011-11
1392,Kepler-100 b,3,6.88705000,307.34,5825.00,7.34000,1.320,2014-02
1393,Kepler-100 c,3,12.81590000,307.34,5825.00,7.05000,2.200,2014-02
1394,Kepler-100 d,3,35.33310000,307.34,5825.00,3.00000,1.610,2014-02
1395,Kepler-1000 b,1,120.01812720,925.00,6453.00,,4.760,
1396,Kepler-1001 b,1,14.30511983,1009.00,5491.00,,3.150,
1397,Kepler-1002 b,1,4.33642933,425.00,6144.00,,1.710,
1398,Kepler-1003 b,1,3.55485691,873.00,6109.00,,1.780,
1399,Kepler-1004 b,1,5.28789787,1080.00,4972.00,,6.280,
1400,Kepler-1005 b,1,6.49801525,515.00,5782.00,,1.500,
1401,Kepler-1006 b,1,19.76172042,496.00,5328.00,,1.540,
1402,Kepler-1007 b,1,5.18500207,365.00,4587.00,,1.440,
1403,Kepler-1008 b,1,12.43931193,299.00,5066.00,,1.280,
1404,Kepler-1009 b,1,11.35011917,281.00,4027.00,,2.170,
1405,Kepler-101 b,2,3.48768120,953.44,5667.00,51.10000,5.770,2014-03
1406,Kepler-101 c,2,6.02976000,953.44,5667.00,3.78000,1.250,2014-03
1407,Kepler-1010 b,1,34.26857050,610.00,5253.00,,2.320,
1408,Kepler-1011 b,1,5.75322197,860.00,5416.00,,2.870,
1409,Kepler-1012 b,1,5.50860439,420.00,5556.00,,1.290,
1410,Kepler-1013 b,1,18.93054959,433.00,4954.00,,2.150,
1411,Kepler-1014 b,1,16.57110363,672.00,5388.00,,2.390,
1412,Kepler-1015 b,1,16.00494214,932.00,6769.00,,3.550,
1413,Kepler-1016 b,2,1.95452434,1239.00,5821.00,,2.180,
1414,Kepler-1016 c,2,105.65513690,1239.00,5821.00,,3.680,
1415,Kepler-1017 b,1,7.23400469,554.00,5473.00,,1.990,
1416,Kepler-1018 b,1,49.10135140,894.00,5518.00,,2.580,
1417,Kepler-1019 b,1,1.41122985,198.00,4433.00,,1.460,
1418,Kepler-102 b,5,5.28696000,108.13,4909.00,4.30000,0.470,2014-02
1419,Kepler-102 c,5,7.07142000,108.13,4909.00,3.00000,0.580,2014-02
1420,Kepler-102 d,5,10.31170000,108.13,4909.00,3.80000,1.180,2014-02
1421,Kepler-102 e,5,16.14570000,108.13,4909.00,8.93000,2.220,2014-03
1422,Kepler-102 f,5,27.45360000,108.13,4909.00,5.20000,0.880,2014-02
1423,Kepler-1020 b,1,96.91514960,446.00,5227.00,,2.280,
1424,Kepler-1021 b,1,13.47469571,837.00,5431.00,,2.330,
1425,Kepler-1022 b,1,10.99469878,455.00,4445.00,,2.360,
1426,Kepler-1023 b,1,62.13877140,686.00,5494.00,,2.630,
1427,Kepler-1024 b,1,66.41621330,1017.00,5143.00,,3.910,
1428,Kepler-1025 b,1,37.32294930,716.00,6089.00,,1.980,
1429,Kepler-1026 b,1,36.51560530,389.00,4948.00,,2.210,
1430,Kepler-1027 b,1,1.90780520,291.00,5436.00,,0.890,
1431,Kepler-1028 b,1,2.51462432,633.00,5522.00,,1.330,
1432,Kepler-1029 b,1,4.41769648,422.00,5030.00,,1.260,
